"","Raf","Erk","Plcg","PKC","PKA","PIP2","PIP3","Mek","P38","Jnk","Akt"
"1",1.42160392686983,0.82020145948564,0.94546858513182,1.23044892137827,2.6170003411209,1.26245108973043,1.76937732607614,1.12057393120585,1.65224634100332,1.60205999132796,1.23044892137827
"2",1.55509444857832,1.26951294421792,1.0899051114394,0.527629900871339,2.54654266347813,1.22530928172586,0.910090545594068,1.21748394421391,1.21748394421391,1.78887511577542,1.51188336097887
"3",1.77378644498119,1.17318626841227,1.16435285578444,1.05690485133647,2.60530504614111,1.00860017176192,1.11394335230684,1.64443858946784,1.50379068305718,1.29003461136252,1.51188336097887
"4",1.86332286012046,0.765668554759014,1.36361197989214,1.13672056715641,2.72263392253381,1.13033376849501,0.110589710299249,1.91803033678488,1.45636603312904,1.36361197989214,1.07188200730613
"5",1.52762990087134,1.32428245529769,0.715167357848458,0.66838591669,2.48429983934679,0.988112840268352,1.39445168082622,1.29666519026153,1.40993312333129,1.91009054559407,1.66370092538965
"6",1.27415784926368,1.07554696139253,1.24551266781415,1.13672056715641,2.78532983501077,1.34439227368511,1.03742649794062,0.574031267727719,1.69108149212297,1.76192783842053,1.40993312333129
"7",1.65224634100332,0.937517892017347,1.01703333929878,1.17609125905568,2.9216864754836,2.12057393120585,1.21218760440396,1.56229286445647,1.55509444857832,1.25767857486918,1.25285303097989
"8",1.67577834167409,1.30535136944662,1.16435285578444,0.808885867359812,2.66838591669,1.48429983934679,1.24303804868629,1.17609125905568,1.38738982633873,1.30102999566398,1.65609820201283
"9",2.01703333929878,1.06069784035361,1.02530586526477,1.46538285144842,2.64836001098093,1.32428245529769,1.62117628177504,1.78887511577542,1.78532983501077,1.40312052117582,1.37106786227174
"10",1.32428245529769,1.12057393120585,0.27415784926368,1.16435285578444,2.32837960343874,2.31175386105575,1.64048143697042,1.33243845991561,1.42651126136458,2.00432137378264,2.13033376849501
"11",1.2148438480477,1.34044411484012,1.16136800223497,1.3096301674259,2.65224634100332,1.23044892137827,1.04921802267018,1.2148438480477,1.65224634100332,1.38201704257487,1.53907609879278
"12",1.87098881376058,1.32014628611105,0.8750612633917,1.50379068305718,2.58994960132571,1.19033169817029,1.41830129131975,1.35983548233989,1.85125834871908,1.55022835305509,1.56229286445647
"13",1.92992956008459,0.824125833916549,0.949390006644913,1.25285303097989,2.72263392253381,1.81224469680037,1.06818586174616,1.59769518592551,1.64443858946784,2.07188200730613,1.08635983067475
"14",1.56584781867352,1.25285303097989,0.698970004336019,1.16435285578444,2.60205999132796,0.957128197676813,1.19033169817029,1.46538285144842,1.6170003411209,2.17897694729317,1.25285303097989
"15",1.46538285144842,0.94546858513182,1.00860017176192,0.988112840268352,2.69897000433602,1.20411998265592,1.66838591669,1.38201704257487,1.28103336724773,0.898176483497677,0.859138297294531
"16",1.69897000433602,1.25767857486918,1.07554696139253,1.74973631556906,2.59328606702046,1.12057393120585,1.05307844348342,1.13987908640124,1.88649072517248,0,1.4456042032736
"17",1.41830129131975,0.957128197676813,1.32837960343874,1.60205999132796,1.94939000664491,1.03742649794062,1.16731733474818,1.42651126136458,1.81624129999178,0.152288344383056,1.57863920996807
"18",1.59769518592551,1.44090908206522,1.02118929906994,1.21748394421391,2.34830486304816,1.96473092105363,1.35602585719312,1.58206336291171,1.48855071650044,0.88309335857569,1.49554433754645
"19",1.48429983934679,1.28103336724773,0.8750612633917,1.38201704257487,2.50379068305718,2.12385164096709,1.19589965240923,1.29666519026153,1.5705429398819,1.23552844690755,1.55870857053317
"20",1.69108149212297,1.49276038902684,1.12385164096709,1.15228834438306,2.85125834871908,2.14921911265538,1.40993312333129,1.21748394421391,1.43775056282039,1.34439227368511,1.79309160017658
"21",1.5854607295085,1.08278537031645,1.05307844348342,1.07918124604762,2.92582757462474,1.93348728784871,1.25285303097989,0.949390006644913,1.45331834004704,1.32014628611105,1.55509444857832
"22",1.4996870826184,1.00860017176192,1.16136800223497,1.13987908640124,2.44090908206522,1.02530586526477,0.691081492122968,1.25042000230889,1.45331834004704,1.10380372095596,1.37839790094814
"23",1.61278385671974,1.48000694295715,0,0,2.98452731334379,2.13672056715641,1.37839790094814,1.4456042032736,1.92582757462474,0.663700925389648,1.69897000433602
"24",1.84757265914211,0.996073654485275,1.18752072083646,1.55509444857832,2.65224634100332,1.38738982633873,1.11058971029925,1.73399928653839,1.97266559226611,1.68394713075151,1.4456042032736
"25",1.84757265914211,1.77378644498119,1.24551266781415,1.55509444857832,3.29688447553855,1.32014628611105,1.02118929906994,1.62531245096167,1.66370092538965,1.25042000230889,1.99211148778695
"26",1.33243845991561,1.27415784926368,0.91803033678488,1.13353890837022,2.80888586735981,2.25767857486918,1.64048143697042,0,1.46538285144842,0.847572659142112,1.5854607295085
"27",1.59328606702046,1.25042000230889,1.26951294421792,1.02118929906994,2.66838591669,1.34439227368511,1.02530586526477,1.36361197989214,1.36735592102602,0.843855422623161,1.50785587169583
"28",1.84385542262316,1.01703333929878,1.29666519026153,1.35602585719312,2.69897000433602,1.26481782300954,0.79657433321043,1.3096301674259,1.68394713075151,1.77378644498119,1.39794000867204
"29",1.54282542695918,1.53529412004277,1.23552844690755,1.12057393120585,2.48855071650044,1.69897000433602,1.36361197989214,1.34830486304816,1.58994960132571,2.29225607135648,1.71096311899528
"30",1.60959440922522,0.710963118995276,1.11394335230684,1.44870631990508,2.82801506422398,1.79657433321043,1.58206336291171,1.39445168082622,1.62117628177504,1.36361197989214,1.16731733474818
"31",1.65991620006985,1.37839790094814,1.12057393120585,1.29003461136252,3.14050804303818,1.32837960343874,0.8750612633917,1.19589965240923,1.5854607295085,1.32014628611105,1.69108149212297
"32",1.64048143697042,0.933487287848705,1.16136800223497,1.53147891704226,2.79309160017658,1.24551266781415,1.11727129565576,1.46538285144842,1.8318697742805,1.44870631990508,1.09691001300806
"33",1.90254677931399,1.02118929906994,0.644438589467839,1.42975228000241,2.62531245096167,2.32014628611105,1.29003461136252,1.90633504180509,1.60530504614111,1.1846914308176,1.55022835305509
